lamb flux f_syn wei
3477.0 0.0 0.93927 -2.0
3478.0 0.0 0.93687 -2.0
3479.0 0.0 0.93419 -2.0
3480.0 0.0 0.9322 -2.0
3481.0 0.0 0.93168 -2.0
3482.0 0.0 0.93144 -2.0
3483.0 0.0 0.93045 -2.0
3484.0 0.0 0.93083 -2.0
3485.0 0.0 0.93554 -2.0
3486.0 0.0 0.94446 -2.0
3487.0 0.0 0.95427 -2.0
3488.0 0.0 0.9611 -2.0
3489.0 0.0 0.96283 -2.0
3490.0 0.0 0.96001 -2.0
3491.0 0.0 0.95645 -2.0
3492.0 0.0 0.9565 -2.0
3493.0 0.0 0.95989 -2.0
3494.0 0.0 0.96157 -2.0
3495.0 0.0 0.95821 -2.0
3496.0 0.0 0.95202 -2.0
3497.0 0.0 0.94773 -2.0
3498.0 0.0 0.9473 -2.0
3499.0 0.0 0.94761 -2.0
3500.0 0.0 0.94457 -2.0
3501.0 0.0 0.93891 -2.0
3502.0 0.0 0.93517 -2.0
3503.0 0.0 0.93495 -2.0
3504.0 0.0 0.93486 -2.0
3505.0 0.0 0.9315 -2.0
3506.0 0.0 0.92606 -2.0
3507.0 0.0 0.9223 -2.0
3508.0 0.0 0.92232 -2.0
3509.0 0.0 0.92495 -2.0
3510.0 0.0 0.92699 -2.0
3511.0 0.0 0.92586 -2.0
3512.0 0.0 0.92155 -2.0
3513.0 0.0 0.91653 -2.0
3514.0 0.0 0.91425 -2.0
3515.0 0.0 0.91692 -2.0
3516.0 0.0 0.92309 -2.0
3517.0 0.0 0.92979 -2.0
3518.0 0.0 0.93537 -2.0
3519.0 0.0 0.9385 -2.0
3520.0 0.0 0.93808 -2.0
3521.0 0.0 0.93459 -2.0
3522.0 0.0 0.93003 -2.0
3523.0 0.0 0.92654 -2.0
3524.0 0.0 0.92502 -2.0
3525.0 0.0 0.92483 -2.0
3526.0 0.0 0.92494 -2.0
3527.0 0.0 0.92517 -2.0
3528.0 0.0 0.92619 -2.0
3529.0 0.0 0.92853 -2.0
3530.0 0.0 0.93196 -2.0
3531.0 0.0 0.93557 -2.0
3532.0 0.0 0.93863 -2.0
3533.0 0.0 0.94079 -2.0
3534.0 0.0 0.94198 -2.0
3535.0 0.0 0.94272 -2.0
3536.0 0.0 0.94305 -2.0
3537.0 0.0 0.9423 -2.0
3538.0 0.0 0.94089 -2.0
3539.0 0.0 0.94007 -2.0
3540.0 0.0 0.94006 -2.0
3541.0 0.0 0.94047 -2.0
3542.0 0.0 0.94139 -2.0
3543.0 0.0 0.94376 -2.0
3544.0 0.0 0.94741 -2.0
3545.0 0.0 0.95002 -2.0
3546.0 0.0 0.95022 -2.0
3547.0 0.0 0.9496 -2.0
3548.0 0.0 0.94974 -2.0
3549.0 0.0 0.95017 -2.0
3550.0 0.0 0.94989 -2.0
3551.0 0.0 0.94904 -2.0
3552.0 0.0 0.94808 -2.0
3553.0 0.0 0.94636 -2.0
3554.0 0.0 0.94293 -2.0
3555.0 0.0 0.93871 -2.0
3556.0 0.0 0.93613 -2.0
3557.0 0.0 0.93662 -2.0
3558.0 0.0 0.93913 -2.0
3559.0 0.0 0.94103 -2.0
3560.0 0.0 0.94116 -2.0
3561.0 0.0 0.94087 -2.0
3562.0 0.0 0.94161 -2.0
3563.0 0.0 0.94205 -2.0
3564.0 0.0 0.93925 -2.0
3565.0 0.0 0.93228 -2.0
3566.0 0.0 0.92406 -2.0
3567.0 0.0 0.91876 -2.0
3568.0 0.0 0.9172 -2.0
3569.0 0.0 0.9164 -2.0
3570.0 0.0 0.91275 -2.0
3571.0 0.0 0.90544 -2.0
3572.0 0.0 0.89658 -2.0
3573.0 0.0 0.88917 -2.0
3574.0 0.0 0.88477 -2.0
3575.0 0.0 0.88315 -2.0
3576.0 0.0 0.88336 -2.0
3577.0 0.0 0.88403 -2.0
3578.0 0.0 0.88334 -2.0
3579.0 0.0 0.8806 -2.0
3580.0 0.0 0.87668 -2.0
3581.0 0.0 0.87316 -2.0
3582.0 0.0 0.87089 -2.0
3583.0 0.0 0.86955 -2.0
3584.0 0.0 0.86825 -2.0
3585.0 0.0 0.86601 -2.0
3586.0 0.0 0.86281 -2.0
3587.0 0.0 0.86005 -2.0
3588.0 0.0 0.85946 -2.0
3589.0 0.0 0.86231 -2.0
3590.0 0.0 0.86843 -2.0
3591.0 0.0 0.8748 -2.0
3592.0 0.0 0.87835 -2.0
3593.0 0.0 0.87934 -2.0
3594.0 0.0 0.88016 -2.0
3595.0 0.0 0.88236 -2.0
3596.0 0.0 0.88582 -2.0
3597.0 0.0 0.88998 -2.0
3598.0 0.0 0.89477 -2.0
3599.0 0.0 0.89954 -2.0
3600.0 0.0 0.90261 -2.0
3601.0 0.0 0.90248 -2.0
3602.0 0.0 0.89912 -2.0
3603.0 0.0 0.89429 -2.0
3604.0 0.0 0.89042 -2.0
3605.0 0.0 0.88915 -2.0
3606.0 0.0 0.88992 -2.0
3607.0 0.0 0.89042 -2.0
3608.0 0.0 0.88914 -2.0
3609.0 0.0 0.88692 -2.0
3610.0 0.0 0.88605 -2.0
3611.0 0.0 0.88757 -2.0
3612.0 0.0 0.89017 -2.0
3613.0 0.0 0.89194 -2.0
3614.0 0.0 0.89227 -2.0
3615.0 0.0 0.8921 -2.0
3616.0 0.0 0.89231 -2.0
3617.0 0.0 0.89258 -2.0
3618.0 0.0 0.89239 -2.0
3619.0 0.0 0.89292 -2.0
3620.0 0.0 0.89602 -2.0
3621.0 0.0 0.90196 -2.0
3622.0 0.0 0.90943 -2.0
3623.0 0.0 0.91611 -2.0
3624.0 0.0 0.92021 -2.0
3625.0 0.0 0.92259 -2.0
3626.0 0.0 0.92574 -2.0
3627.0 0.0 0.9303 -2.0
3628.0 0.0 0.93369 -2.0
3629.0 0.0 0.9323 -2.0
3630.0 0.0 0.9251 -2.0
3631.0 0.0 0.91499 -2.0
3632.0 0.0 0.90638 -2.0
3633.0 0.0 0.90205 -2.0
